,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,2,71,81,42572.75,41964.55078125,-1216.3984375,-0.014286115384841258,2023-01-16 10:15:00,2023-01-17 13:15:00,1 days 03:00:00
1,2,99,120,42656.75,42062.8515625,-1187.796875,-0.013922730576051867,2023-01-20 10:15:00,2023-01-25 10:15:00,5 days 00:00:00
2,2,151,154,41825.55078125,39943.3515625,-3764.3984375,-0.04500118189940905,2023-02-01 13:15:00,2023-02-02 09:15:00,0 days 20:00:00
3,2,169,232,41613.6015625,41358.25,-510.703125,-0.006136252400948394,2023-02-06 10:15:00,2023-02-17 10:15:00,11 days 00:00:00
4,2,288,330,40531.3515625,40540.69921875,18.6953125,0.0002306277952657254,2023-03-01 10:15:00,2023-03-10 10:15:00,9 days 00:00:00
5,2,384,399,39859.25,39555.25,-608.0,-0.007626836932456027,2023-03-21 15:15:00,2023-03-24 09:15:00,2 days 18:00:00
6,2,427,580,40231.25,42665.1015625,4867.703125,0.0604965434208482,2023-03-31 09:15:00,2023-05-05 15:15:00,35 days 06:00:00
7,2,586,596,43319.8515625,42919.6484375,-800.40625,-0.009238330939860262,2023-05-08 14:15:00,2023-05-10 10:15:00,1 days 20:00:00
8,2,614,634,43813.6015625,43487.69921875,-651.8046875,-0.0074383828794604145,2023-05-12 14:15:00,2023-05-17 13:15:00,4 days 23:00:00
9,2,639,673,44029.30078125,43554.5,-949.6015625,-0.010783745660848498,2023-05-18 11:15:00,2023-05-25 10:15:00,6 days 23:00:00
10,2,684,703,44043.8984375,43960.44921875,-166.8984375,-0.001894682843945339,2023-05-26 14:15:00,2023-05-31 12:15:00,4 days 22:00:00
11,2,723,748,44243.8984375,43966.8515625,-554.09375,-0.006261809758725589,2023-06-05 11:15:00,2023-06-08 15:15:00,3 days 04:00:00
12,2,790,799,43930.44921875,43438.69921875,-983.5,-0.011193830446653341,2023-06-16 15:15:00,2023-06-20 10:15:00,3 days 19:00:00
13,2,806,902,43881.6484375,44705.6484375,1648.0,0.01877778135827346,2023-06-21 10:15:00,2023-07-11 15:15:00,20 days 05:00:00
14,2,930,986,45516.44921875,45696.05078125,359.203125,0.003945860575301996,2023-07-17 15:15:00,2023-07-27 15:15:00,10 days 00:00:00
15,2,1109,1121,44220.8984375,44268.19921875,94.6015625,0.0010696476761287155,2023-08-23 12:15:00,2023-08-25 10:15:00,1 days 22:00:00
16,2,1142,1147,44701.1015625,44210.3515625,-981.5,-0.01097847665596885,2023-08-30 10:15:00,2023-08-30 15:15:00,0 days 05:00:00
17,2,1160,1240,44472.6015625,45567.8515625,2190.5,0.02462752259862233,2023-09-01 14:15:00,2023-09-20 10:15:00,18 days 20:00:00
18,2,1334,1352,44362.6015625,44245.6015625,-234.0,-0.002637356599458296,2023-10-10 13:15:00,2023-10-13 10:15:00,2 days 21:00:00
19,2,1443,1513,43126.44921875,43714.6015625,1176.3046875,0.013637856916221436,2023-11-02 10:15:00,2023-11-17 10:15:00,15 days 00:00:00
20,2,1549,1673,43720.25,47172.44921875,6904.3984375,0.0789611042651861,2023-11-24 11:15:00,2023-12-21 09:15:00,26 days 22:00:00
21,2,1679,1724,47915.8515625,47859.94921875,-111.8046875,-0.0011666774548936276,2023-12-21 15:15:00,2024-01-02 11:15:00,11 days 20:00:00
22,2,1740,1753,48213.3984375,47754.3515625,-918.09375,-0.009521147437782762,2024-01-04 13:15:00,2024-01-08 12:15:00,3 days 23:00:00
23,2,1786,1800,47950.30078125,46950.94921875,-1998.703125,-0.020841403415988058,2024-01-15 10:15:00,2024-01-17 10:15:00,2 days 00:00:00
24,2,1856,1878,45818.19921875,45874.75,113.1015625,0.0012342427728337935,2024-01-31 10:15:00,2024-02-05 11:15:00,5 days 01:00:00
25,2,1931,1980,45780.8984375,46820.30078125,2078.8046875,0.022703843288899073,2024-02-14 15:15:00,2024-02-23 15:15:00,9 days 00:00:00
